Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
-1.7465,0.11712,-0.11712,-2,-2,-2,0.92685,0.11493,0.505,0.505,0.011
2.7902,1.3951,2.7902,-2,0,-2,0.51107,0.11668,0.505,0.505,0.011
1.278,-0.3462,-2.444,2,-2,-2,1.3146,0.014733,0.505,0.505,0.011
-2.6783,0.81468,1.9756,0,2,2,1.5752,0.080221,0.505,0.505,0.011
2.2098,0.11712,1.9756,-2,0,-2,1.3699,0.084788,0.505,0.505,0.011
1.8584,1.08E-15,3.0245,2,2,2,1.5751,0.066456,0.505,0.505,0.011
-2.5612,0.69756,3.0245,2,-2,0,1.7914,0.027206,0.505,0.505,0.011
2.2098,0.35136,0.58044,-2,-2,-2,0.79162,0.53397,0.505,0.505,0.011
1.9756,1.2832,1.5122,-2,-2,-2,0.8669,0.061141,0.505,0.505,0.011
-0.9318,0.46332,0.46332,0,2,2,1.0085,0.083762,0.505,0.505,0.011
-1.6294,0.46332,0.69756,-2,2,0,1.7483,0.035781,0.505,0.505,0.011
1.1609,0.46332,-1.6294,-2,-2,-2,1.3259,0.10468,0.505,0.505,0.011
-0.23424,0.69756,0,0,2,-2,0.73575,0.090184,0.505,0.505,0.011
-0.9318,0,0.69756,2,-2,0,1.2122,0.019347,0.505,0.505,0.011
-1.7465,-0.3462,-1.9807,0,2,0,1.1685,0.33423,0.505,0.505,0.011
0.3462,1.2832,-0.81468,0,-2,2,0.78521,0.78024,0.505,0.505,0.011
1.39E-16,1.1609,0.69756,2,2,-2,1.7215,0.077257,0.505,0.505,0.011
-1.8636,1.1609,1.1609,0,2,-2,0.87149,0.11208,0.505,0.505,0.011
-1.2832,0.35136,-1.9807,0,-2,0,0.33726,0.13869,0.505,0.505,0.011
-2.6783,0.35136,-1.2832,0,-2,-2,1.1901,0.077148,0.505,0.505,0.011
1.278,1.2832,-0.35136,0,-2,0,0.49414,0.032835,0.505,0.505,0.011
-0.81468,-1.5122,1.9756,-2,0,2,1.1332,0.15111,0.505,0.505,0.011
3.0245,-1.166,0.69756,0,0,2,0.40324,0.10415,0.505,0.505,0.011
0.69756,-0.9318,-0.46848,-2,0,0,0.45549,0.057832,0.505,0.505,0.011
1.9756,-1.278,0.58044,2,0,-2,1.6768,0.074345,0.505,0.505,0.011
1.1609,0.69756,-2.7954,0,-2,0,1.9205,0.17734,0.505,0.505,0.011
-1.9807,1.2832,1.9756,2,-2,0,0.78332,0.13046,0.5089,0.5011,0.010929
1.278,0.81468,-1.9807,2,0,2,0.59037,0.27579,0.505,0.505,0.011
-0.9318,-1.166,-0.9318,0,2,0,1.6936,0.677,0.505,0.505,0.011
-1.7465,-0.58044,2.2098,2,0,0,1.667,0.10284,0.505,0.505,0.011
0.46332,0.69756,3.0245,0,2,2,0.70008,0.6864,0.505,0.505,0.011
0.58044,1.2832,-1.0489,-2,0,-2,0.50502,0.027856,0.31023,0.49387,0.019806
2.9074,-0.3462,0.58044,2,0,2,1.0523,0.10355,0.505,0.505,0.011
0.69756,-0.9318,-1.6294,2,-2,2,1.146,0.077747,0.505,0.505,0.011
1.8584,-0.9318,1.1609,-2,2,-2,1.9754,0.10829,0.505,0.505,0.011
-0.23424,0.46332,-1.166,0,2,2,0.82879,0.10786,0.505,0.505,0.011
-1.166,0.46332,-1.166,0,0,-2,0.73804,0.040716,0.505,0.505,0.011
2.0927,-0.9318,2.0927,-2,-2,2,1.6292,0.055689,0.505,0.505,0.011
1.9756,-1.278,2.2098,0,0,0,1.2449,0.04141,0.505,0.505,0.011
1.278,-0.58044,-2.444,2,0,-2,0.69598,0.84264,0.49433,0.49433,0.011194
-2.5612,-1.166,1.1609,2,0,-2,1.1198,0.099981,0.505,0.505,0.011
-0.23424,-0.9318,-1.6294,-2,2,2,1.0493,0.18459,0.505,0.505,0.011
2.7902,1.3951,0.46332,2,2,-2,1.0584,0.042803,0.505,0.505,0.011
-0.81468,-1.5122,0.3462,0,0,0,0.12008,0.10403,0.505,0.505,0.011
-1.0489,-1.5122,-1.7465,0,-2,2,0.74934,0.0075731,0.505,0.505,0.011
-1.7465,-1.5122,2.6731,0,-2,2,1.2193,0.10316,0.505,0.505,0.011
3.1416,-1.5122,-1.7465,0,2,2,1.1558,0.10151,0.505,0.505,0.011
2.2098,0.81468,-0.35136,2,-2,-2,0.99279,0.097078,0.505,0.505,0.011
2.6731,1.2832,-2.444,0,0,2,0.97281,0.1026,0.505,0.505,0.011
1.3951,-0.9318,-1.166,-2,0,-2,0.71453,0.62429,0.505,0.505,0.011
-0.46848,0,-0.46848,0,2,-2,1.007,0.10069,0.505,0.505,0.011
-2.6783,0.11712,1.278,2,0,0,1.5406,0.062477,0.505,0.505,0.011
-1.0489,1.2832,2.9074,0,2,-2,0.56636,0.15929,0.505,0.505,0.011
-1.0489,-0.58044,-1.0489,0,2,0,0.44552,0.11262,0.51546,0.49454,0.01081
-2.7954,-0.46848,-0.9318,0,2,0,1.3604,0.11521,0.505,0.505,0.011
2.0927,-0.9318,0,-2,2,0,1.4171,0.11022,0.505,0.505,0.011
2.2098,0.11712,-0.81468,2,0,-2,1.1998,0.021918,0.505,0.505,0.011
-0.9318,1.39E-17,-0.23424,-2,2,2,1.0361,0.081985,0.505,0.505,0.011
1.1609,-0.46848,2.0927,-2,-2,-2,1.9602,0.067158,0.505,0.505,0.011
2.9074,-0.3462,2.6731,-2,0,2,1.0634,0.10601,0.505,0.505,0.011
-1.7465,1.2832,-0.81468,0,0,0,0.40596,0.11076,0.505,0.505,0.011
1.278,-0.3462,2.2098,2,2,2,1.4301,0.061775,0.505,0.505,0.011
-1.2832,-0.58044,2.2098,-2,0,0,1.801,0.058523,0.505,0.505,0.011
-2.5612,-0.9318,1.3951,-2,0,0,0.54558,0.098583,0.505,0.505,0.011
-2.444,0.35136,-2.444,0,0,-2,0.84666,0.043276,0.505,0.505,0.011
0.46332,-1.166,-0.23424,2,0,-2,0.90723,0.11425,0.505,0.505,0.011
-1.8636,1.3951,1.3951,-2,0,2,1.6448,0.10508,0.505,0.505,0.011
-1.7465,1.2832,2.2098,2,-2,0,0.65373,0.95281,0.505,0.505,0.011
3.1416,1.0489,-1.7465,0,2,0,1.7295,0.087527,0.505,0.505,0.011
